,headline,url,corpus
0,Net Zero Emissions,https://climate.mit.edu/explainers/net-zero-emissions,action like use electr fossil fuel fire power plant lead greenhous gase enter atmospher greenhous ga emiss root caus climat chang action help reduc emiss like build solar farm let us run fossil fuel fire power plant less even like plant tree take greenhous gase back atmospher person organ net zero emiss one take kind action posit neg impact climat consid effect balanc import strategi hard expens even imposs emit greenhous gase lower one emiss much possibl cancel remain residu emiss organ reach net zero emiss stop contribut buildup greenhous gase effect climat
1,Loss and Damage,https://climate.mit.edu/explainers/loss-and-damage,loss damag term use unit nation describ harm inflict climat chang go beyond peopl adapt includ live lost monetari cost destruct infrastructur build crop properti loss entir place way life loss damag come extrem event like flood hurrican wildfir grow frequent sever human caus climat chang come slow move disast like sea level rise ocean acidif caus mainli entir climat chang
2,Investing and Climate Change,https://climate.mit.edu/explainers/investing-and-climate-change,investor trade trillion worth stock bond long term invest global capit market everi year grow number investor interest connect climat chang asset buy sell investor concern climat chang financi reason believ pose risk certain invest want asset well posit world affect climat chang investor moral reason think climat invest compani whose product oper help lessen effect climat chang hope support climat solut convers invest busi contribut climat chang hope push busi think impact climat
3,Heating and Cooling,https://climate.mit.edu/explainers/heating-and-cooling,burn wood natur ga furnac window air condit unit heat cool home school offic number way keep build comfort temperatur use lot energi almost energi produc worldwid use heat cool home commerci build
4,Permafrost,https://climate.mit.edu/explainers/permafrost,arctic short summer meadow fill wildflow greeneri meter surfac soil like thaw possibl thousand year
5,Extreme Heat,https://climate.mit.edu/explainers/extreme-heat,extrem heat danger weather condit becom common sever climat chang warm planet lead weather relat caus death unit state signific like undercount caus death worldwid addit health effect extrem heat damag road electr wire infrastructur stress energi system air condition draw electr damag kill crop livestock contribut natur disast like drought wildfir
6,The Electric Grid,https://climate.mit.edu/explainers/electric-grid,use electr everi day turn light charg phone keep food cold us make electr instead get electr grid interconnect network power line infrastructur allow us move electr power plant home busi factori though often gener refer electr grid countri one exampl three quit separ electr grid span countri
7,Freshwater and Climate Change,https://climate.mit.edu/explainers/freshwater-and-climate-change,need water surviv although water cover almost three quarter earth surfac less water avail use rest ocean frozen water use drink bath cook clean come river lake groundwat much lesser extent rainwat collect desalin seawat recycl water
8,Climate Justice,https://climate.mit.edu/explainers/climate-justice,countri popul benefit other industri technolog caus climat chang time countri benefit least like suffer first worst climat chang
9,Phytoplankton,https://climate.mit.edu/explainers/phytoplankton,phytoplankton microscop plant like organ live ocean lake river billion billion billion phytoplankton world ocean star sky phytoplankton huge divers like thousand differ speci includ bacteria cyanobacteria sometim call blue green alga alga like diatom surround glass like structur coccolithophor calcium carbon armor smallest abund phytoplankton speci call prochlorococcu given tini size discov depend condit speci phytoplankton teaspoon ocean water could harbor sever thousand individu
